Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes
Shroud of the Inca,Arien Chabolla,,Houston,"1 oz Luxardo Bitter Bianco, .25 oz Castilian Tincture*, .75 oz BarSol Supremo Moste Verde Italia Pisco, 2 oz Prosecco",Candied Blood Orange Wheel**,Coupe,"Combine Luxardo, BarSol, and tincture. Ice, stir, and strain into chilled coupe. Top with Prosecco. Gently set candied blood orange wheel (thinly sliced) garnish into drink and serve.

*Castillian Tincture:
-- 750 ml Luxardo Grappa Euganea
-- 20 g Sliced Blanched Almond
-- 2 g Spanish Saffron
-- 3 Sliced Madagascan Vanilla Beans
-- 3 g Toasted Green Cardamom
-- 4 Lemon Peels (pith removed)
-- 2 Quartered Dried Pajarero Figs
-- 2 Quartered Quartered Medjool Dates

Combine all ingredients, gently agitate twice daily for 14 days. Fine filter and store.

**Candied Blood Orange Wheels:
-- 1 Blood Orange (sliced thin - approx. 10 slices/orange)
-- .5 c Natural Sugar
-- .25 c Water
-- 2 Tbsp Corn Syrup

Combine sugar, water, and corn syrup in shallow saucepan. Slow simmer on low heat approx. 10 min. When thickened mixture begins to cling to sides of pan, add orange slices. Allow to simmer for 5 more min. and remove from hardening syrup. Place slices on parchment-lined oven rack. Air dry overnight, then bake 10 min. at 400°F (or dehydrate them).",
New Beginnings,Richard Bailey,,Houston,".75 oz Luxardo Bitter Bianco, .75 oz Avua Cachaca Prata, .75 oz Broker's London Dry Gin, .75 oz Coconut Water, 2 dash Toasted Coconut Tincture*, 1 dash Almond Extract,  top Fever-Tree Mediterranean Tonic Water",Sliced Almonds,Collins,"Combine Luxardo, cachaca, gin, coconut water, tincture and almond extract in a yari (mixing glass). Add ice. Stir for proper dilution (30-40 revolutions). Pour in collins glass over a clarified ice sphere. Top cocktail with Fever-Tree. Add 3 almond slices for garnish.

*Toasted Coconut Tincture:
-- 4 oz (by weight) Semisweet Coconut Flakes
-- High-Proof Neutral Grain Spirit (preferably Everclear)

Lightly toast semisweet coconut flakes. Put in a small mason jar. Fill jar with high-proof neutral grain spirit. Let sit for 3 days then strain off.",
Fuji-La,Qwesha Byrd,,Houston,".5 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, 1.5 oz Apple Water*, 1 ml Citric Acid Solution**",Fuji Apple Slice ,Coupe,"Combine Luxardo, gin, apple water and citric acid solution into a shaker tin and shake to chill. Double strain into a coupe glass and garnish with a slice of Fuji apple lightly dusted with cinnamon.

*Apple Water:
-- 1 Fuji Apple
-- 2 c Water

Slice Fuji apple and combine with water. Vacuum seal and place in a sous-vide for 3-4 hrs at 130°F. Strain apples; water is ready for use.

**Citric Acid Solution:
-- 1 ml gram Citric Acid
-- 3 ml Water

Combine citric acid and water. Stir until dissolved.",
The Cliffdiver,,,,"1.25 oz D'aristi 10 YR Rum, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Tempus Fugit Liqueur de Violettes, 1 oz Lime Juice, .5 oz Tahitian Vanilla Bean Syrup, 1 float Ginger Beer, 3 dash Angostura Bitters","Grilled Pineapple Wedge, Luxardo Cherries, Edible Orchid",Collins,"Combine rum, curacao, violettes, and lime juice in a shaker, add ice and shake vigorously. Double strain into a chilled collins glass. Add fresh ice in the collins glass and top with chilled ginger beer. Float 2-3 dashes of Angostura Bitters on top and garnish with a grilled pineapple wedge on rim of glass, and two Luxardo Cherries speared through a toothpick, and edible orchid placed on top hanging from the rim.",*Ice: Bar Ice & Vintage Ice
Irish Goodbye,Ari & Micah Wilder,,Washington DC,"1.5 oz Nikka Coffey Grain Whisky, .25 oz Absinthe, 4 oz Hot coffee, 2-3 oz Homemade Irish Cream",Star Anise,Irish Coffee glass,"Combine the coffee and whiskey in a preheated cup. Top with Irish cream and pour the absinthe over the back of a spoon to float. Garnish.
",*this drink was served at Portland Cocktail Week 2013
Beachcomber,,,,"1.5 oz Light Rum, .75 oz  Cointreau, .75 oz Lime Juice, .25 oz Luxardo Maraschino Liqueur, .125 oz Simple Syrup (optional)",,Cocktail Glass,Combine the ingredients in a Boston shaker or cocktail shaker. Add ice and shake vigorously for 10 seconds. Strain the contents into a chilled cocktail glass.,Photo credit: Roger Kamholz
Old Tom and The Sea,Kelly McCarthy,,,"1.5 oz Old Tom Gin, 1 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice","Lemon, Cherry Flag",N/A,"Combine the ingredients. Shake and strain over ice. Lemon and/or cherry flag garnish.

Add soda water if you'd like to water it down.",
Salty Swede,,,,"2 oz Karlsson's Gold Vodka, 2 oz Fresh grapefruit juice, 1 oz Club soda, 1 tincture Grapefruit bitters",,Old Fashioned Glass,Combine the Karlsson's Gold Vodka and grapefruit in a shaker with ice. Shake for 15 seconds and strain over fresh ice in an old-fashioned glass that has a salted rim. Top the cocktail with the club soda.,Play around with different kinds of salt. The salty swede uses yuzu salt.
The Last Tango,Kim Rosselle,Trick Dog,San Francisco,"1.5 oz Junipero Gin, 1 oz Giffard Elderflower Liqueur, 1 oz Lime Juice, 8-9 drops Chili Tincture*, 6  Luxardo Maraschino Cherries",Lime Wheel,Cocktail Glass,"Combine the lime, elderflower, tincture and cherries into a shaker tin. Muddle the cherries and then add the Junipero Gin. Shake with ice. Double strain into a chilled cocktail glass. Garnish with a lime wheel.

*Chili Tincture:
-- Chiles (Habaneros or Bird’s eye Chiles recommended)
-- Grain Alcohol or Vodka

Fill a small jar with stemmed hot chili peppers and cover with grain alcohol or high-proof vodka. Let soak for 3 days; strain.",Junipero Gin 20th Anniversary Signature Cocktail
Pink & Black,,,,"2 oz Pink Pigeon Rum, 3 oz Coca-Cola, .5 oz Lime Juice",,Collins,"Combine the Pink Pigeon, the cola, and the lime juice, in a tall Collins glass full of ice cubes.",
Pink & Ginger,,,,"2 oz Pink Pigeon Rum, 3 oz Ginger Beer, .5 oz Lime Juice",,Collins,"Combine the Pink Pigeon, the ginger beer, and the lime juice, in a tall Collins glass full of ice cubes.",
A Regal Air ,Amy Lewis ,One Sixty Blue,"Chicago, Ill","3 oz Domingo Perez Marin 'la Guita' Manzanilla Sherry, .5 oz King's Ginger Liqueur, .25 oz Chartreuse , .25 oz Juice of an Orange",,Martini,Combine these ingredients and roll gently over ice and strain into a martini glass. Top with pumpkin foam.,
King's Mule,Daniel Romero,Miles,Brooklyn,"1.5 oz Absolut Vodka, .5 oz King's Ginger Liqueur, 1 oz Fresh Lemon Juice , 1 oz Ginger-Cinnamon Syrup*, 2 dash Bar Keep Lavender Spice Bitters,  top Club Soda",Lemon Twist,Collins,"Combine vodka, ginger liqueur, lemon juice, ginger-cinnamon syrup and bitters in tins with ice and shake. Double strain into collins glass over fresh ice and top with club soda.

*Ginger-Cinnamon Syrup: 
Equal parts demerara sugar, clover honey, fresh ginger juice, water. Combine demerara sugar and clover honey and top with boiling water. Stir to dissolve. Once cooled add fresh ginger juice and stir to mix.",
Caipirinha,,,,"4 pieces Lime, 1-2 Tbsp Sugar, 1 1/2 oz Ypiòca",,N/A,Cut a lime in 4 pieces and put them in a glass. Add 1-2 tablespoons of sugar and crush with a pestle. Add Ypiòca. Fill with crushed ice. Stir well and enjoy!,
Bubbly Bird,Kate Grutman,,,"1 oz Pink Pigeon Rum, 1 fill Champagne, 1 dash Angostura bitters, 1 dash Peach bitters, 1 dash Luxardo Fernet",Lemon twist,Champagne Flute,Dash each bitter and the Fernet over sugar cube in base of Champagne glass so that the sugar is fully saturated with mixture. Add Pink Pigeon Rum and top with chilled Champagne. Garnish with a twist of lemon.,
Framboise de Pigeon,Cristina Bini,,New York,"2 oz Pink Pigeon Rum, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Lemon juice, .25 oz Simple syrup*",Sweet Paprika,Martini,Double strain into a martini glass.,*Simple syrup is infused with basil leaves and cherry tomato confit muddled.
Far From the Tree,Brian Means,Dirty Habit,San Francisco,"1.5 oz C. Drouin Calvados Selection, .75 oz Orgeat, .5 oz Lemon Juice, 1 oz Pear & Celery Puree, .5  Egg white",Aged Kaffir Lime Zest,Fizz Glass,"Dry Shake (no ice), Wet Shake (with ice) & Double Strain.",
Luxardo Sour,Adam Fortuna,Artusi,Seattle,"1.25 oz Luxardo Amaretto di Saschira, 1 oz Rye Whiskey, 1 oz Lemon Juice, .75 oz Angostura Bitters, 1  Egg White",Lemon Twist,Old Fashioned Glass,Dry shake all ingredients for 20-30 seconds. Then shake with ice. Double strain over fresh ice in an old fashioned glass. Garnish with wide lemon swath.,
The Molino,,Palizzi Social Club,Philadelphia,"1.5 oz Bourbon, .5 oz Luxardo Amaretto di Saschira, .5 oz Demerara Syrup (1:1), .75 oz Lemon Juice, 1  Egg White",Luxardo Cherry,Pilsner Glass,Dry shake all ingredients. Hard shake with ice. Double strain into small pilsner glass. Garnish with Luxardo Cherry.,
The King's Egg Nog,,,,"1 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, .25 oz English Harbour Rum, 3 spoon Sugar, 1 whole Egg, .5 oz Milk, .5 oz Cream","Nutmeg, grated",Goblet,Dry shake and then shake with hand cracked ice. Serve in a goblet with grated nutmeg.,
White Walker Flip,,,,"1 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Green Chartreuse, .75 oz Sweetened Apple Cider, 2 dash Baked Apple Bitters, 1 whole Egg",King's Ginger-Infused Apple Wheels,Royal Coupette,Dry shake whole egg until emulsified. Then add Kold Draft ice and all ingredients except bitters and shake vigorously until cold. Strain into chilled royal coupette and garnish with apple wheels.,
Hibiscus Pisco Sour,Naren Young,Saxon & Parole,New York,"2 oz BarSol Primero Quebranta Pisco, .75 oz Lime juice, .75 oz Hibiscus/rose syrup, 1  Egg white",,Coupe,"Dry shake, add ice and shake again. Strain into a coupe glass.",
Lux Japanese Lemonade,Carlo Splendorini,Michael Mina Restaurant Group,San Francisco,"1.5 oz No.3 London Dry Gin, .5 oz Jummai Ginjo Sake, .25 oz Luxardo Limoncello, .25 oz Dill Cordial, .5 oz Meyer Lemon Juice, .25 oz Yuzu Juice, .5 oz Fresh egg White",Dill,Copita Glass,"Dry Shake, add ice and shake for 10 seconds. Double strain into a Copita Glass. Garnish with Dill.",
Flip and Flight,Ryan Chetiyawardana,,United Kingdom,"30 ml Pink Pigeon Rum, 15 ml Dry Oloroso Sherry, 15 oz Grenadine, 1 whole Egg,   Vanilla-Salt Spray",,N/A,"Dry shake, shake with cubed ice, double strain into chilled glass coated in vanilla-salt solution.",
Dry Mauritian Sour,Ryan Chetiyawardana,,United Kingdom,"40 ml Pink Pigeon Rum, 10 ml Campari, 10 ml Lavender syrup, 10 ml Lemon juice , 10 ml Orange juice, 25 ml Egg white",,N/A,"Dry shake, shake with cubed ice, double strain into chilled glass.",
Platonic Snuggle,Natasha David,Nitecap,,".5 oz H by HINE, .5 oz El Dorado 12 Year Old Rum, .5 oz Hamilton Black Jamaican Pot Still Rum, .5 oz Cinnamon Syrup, .5 oz Heavy Cream, 1 tsp St. Elizabeth Allspice Dram, 1 whole Egg,  top Founders Porter","Orange Twist, Grated Nutmeg",Shorty Beer,"Dry shake, strain, top with porter.",
The Brightside,Brian Floyd,,,"1.5 oz Pink Pigeon Rum, 2.5 oz Fresh orange juice, 1 Tbsp Luxardo Bitter, 1 dash Milk powder (or cream)",,Old Fashioned Glass,"Dry shake, then serve old-fashioned glass with crushed ice. Drizzle Bitter on top to finish.",
The King's Froth & Frizz,Jupiter Olympus,,San Francisco,"1 oz BarSol Selecto Italia Pisco, 1.25 oz King's Ginger Liqueur, .5 oz Peach Brandy, .5 oz Lemon juice, .5 oz Egg white",Star Anise,Champagne Flute,"Dry shake, then shake with ice. Double strain into flute or sour glass. Top with a Saison.

Zest orange over top and garnish with a star anise.
",
The Queen's A Redhead,,,United Kingdom,"50 ml King's Ginger Liqueur, 4  Pink Peppercorns, 25 ml Fresh lemon juice, 15 ml Gomme syrup, 25 ml Egg white",Small grind of black pepper,Collins,"Dry shake, then shake with ice. Double strain over cubed ice.",
Delicious Sour,Ken Luciano,The Forgery,San Francisco,"2 oz C. Drouin Calvados Selection, .75 oz Lemon Juice, .75 oz Giffard Abricot du Roussillon, .5 oz Egg White",Lemon Twist,Coupe,"Dry shake. Add ice, shake. Double strain into a frozen coupe glass. Garnish with lemon twist or dehydrated apple slice.",
Jalapeño Sour,Kevin Diedrich,,,"2 oz Chinaco Blanco Tequila, .5 oz Green Chartreuse, .5 oz Lime juice, 1 oz Pineapple juice, .5 oz Jalapeño Syrup, .5 oz Egg White",Jalapeño slice,Double Rocks Glass,"dryshake/shake/dblrocks

garnish jalapeño slice",
Hanny's Hot Apple Toddy,St. John Frizell,,,"1.5 oz Luxardo Amaretto di Saschira, 8 oz Apple Cider,  oz Heavy Cream,  oz Cinnamon",Cinnamon,Glass Mug,"Fill a 10-oz mug with boiling water. When the mug is hot, pour out the water and add the amaretto and cider. Top with a layer of cream. Grate fresh cinnamon on top as a garnish.",
The Alpine Mist,Tineke Triggs,,,"2 oz Mezcal, 2 oz Reed's Premium Ginger Brew, 1 tsp Seedless Blackberry Jam, 1  Lime, juiced, 12  Mint Leaves, muddled","Mint Leaf, Orange Peel",Martini,Fill a cocktail shaker with ice. Add all ingredients except the garnish and shake well. Stain into a very chilled martini glass (martini glass should have a sugar rim on half of the glass) and top with a splash of ginger beer. Garnish with a mint leaf and orange peel. Right before serving drop in a chip of dry ice for the mist.,"Cocktail created by interior designer contest winner, Tineke Triggs."
Division Bell,Phil Ward,,,"1 oz Mezcal, .75 oz Aperol, .5 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",Grapefruit Twist,Martini,Fill a cocktail shaker with ice. Add ingredients and shake well. Strain into a chilled coupe or martini glass and garnish with the grapefruit twist.,Photo credit: Tina Rupp
Golden Gun,,,,"1 oz Blended Lightly Aged Rum, 1 oz Blended Aged Rum, .75 oz Lime Juice, .5 oz Luxardo Apricot Liqueur, .5 oz SC Demerara Syrup*, .5 oz Grapefruit Juice, 2 dash Angostura Bitters",,Collins,"Fill a collins or highball glass with cracked or cubed ice. Add all the ingredients to a cocktail shaker filled with cracked or cubed ice. Shake and strain into the glass.

*SC Demerara Syrup:
-- 2 C Water
-- 1 C Demerara Sugar
-- 3 C Granulated Sugar

Bring water to boil in a saucepan over high heat. Add the demerara sugar and stir vigorously with a whisk (or use an immersion blender) until sugar is dissolved, about 1 minute (the water should become clear). Add granulated sugar and stir vigorously until dissolved, about 1 minute. Remove from heat and let cool.",
Grown-Up Shirley Temple,,Gastronomista.com,,"1 oz Luxardo Cherry Syrup (from jar of cherries), .25 oz Fresh Lemon Juice (optional), 6 oz Soda Water",Luxardo Cherry,Highball Glass,"Fill a highball glass with ice, and build the syrup, lemon juice, and soda water. Stir, and garnish with a Luxardo Maraschino Cherry.",
Japanese Cocktail,,,,"2 oz H by HINE, .5 oz Luxardo Orgeat Syrup, 3 dash Angostura Bitters",Lemon Peel,Cocktail Glass,"Fill a mixing glass half full with ice. Add cognac, orgeat, and bitters. Stir well. Strain into chilled cocktail glass. Twist lemon peel over the drink and drop in as a garnish.",Photo credit: seriouseats.com
Vinterpäls,Sean McClure,,,"1.5 oz Karlsson's Gold Vodka, .5 oz Luxardo Amaretto di Saschira, .5 oz Benedictine, .5 oz Orange juice, .5 oz Honey",Long orange peel studded with cloves,Mug,"Fill a mug with very hot water to warm the glass up. Once the glass is hot, empty it and add all the liquid ingredients. Stir well until the honey is incorporated. Garnish with the clove studded orange peel and enjoy.","This is a nice simple winter warmer that will hit the spot after a nice dinner. Vinterpäls is the Swedish word for winter jacket. When we first made this, we wanted to be up in the mountains at a ski resort in a hot tub..."
A Southern Jackass,Julian Miller,Partender,San Francisco,"1.5 oz Prichard's Lincoln County Lightning, .5 oz King's Ginger Liqueur, .5 oz Cinnamon-Candied Ginger Syrup*, 3 dash Angostura Bitters,  top Club Soda","Lemon Wheel, Sliver of Cinnamon-Candied Ginger",Old Fashioned Glass,"Fill a shaker with an old fashioned glass worth of ice. Add all ingredients except for the club soda. Shake vigorously for 20 seconds, then dump into old fashioned glass. Set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.

*Cinnamon Candied Ginger Syrup:
Combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. Continue to barely simmer for 30 minutes. Add 1 cup of demerara sugar and stir until fully dissolved. Lower heat and keep just below simmering. Continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). Remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. Let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. Remove cinnamon sticks and reserve syrup.",
Mayan Sacrifice Champagne Cocktail,,,,".5 oz Chinaco Blanco Tequila, .5 oz D'Aristi Xtabentun Honey Liqueur",,N/A,"Fill Chinaco stemmed flute with prosecco, cava or other dry sparkling.
Garnish with Luxardo Cherry pinned inside of lemon peel and rested across rim.
The cherry garnish which will be EVER so delicately laid across the top of the glass, should flame in my opinion. You can dip the in high-proof spirits and light it up!
",
