Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
Grown-Up Shirley Temple;N/A;N/A;Highball Glass;Fill a highball glass with ice, and build the syrup, lemon juice, and soda water. Stir, and garnish with a Luxardo Maraschino Cherry.;N/A;N/A;N/A;1 oz Luxardo Cherry Syrup (from jar of cherries), .25 oz Fresh Lemon Juice (optional), 6 oz Soda Water;N/A;Gastronomista.com;N/A;Luxardo Cherry;N/A
Japanese Cocktail;N/A;N/A;Cocktail Glass;Fill a mixing glass half full with ice. Add cognac, orgeat, and bitters. Stir well. Strain into chilled cocktail glass. Twist lemon peel over the drink and drop in as a garnish.;N/A;N/A;N/A;2 oz H by HINE, .5 oz Luxardo Orgeat Syrup, 3 dash Angostura Bitters;N/A;N/A;N/A;Lemon Peel;Photo credit: seriouseats.com
Vinterpäls;N/A;N/A;Mug;Fill a mug with very hot water to warm the glass up. Once the glass is hot, empty it and add all the liquid ingredients. Stir well until the honey is incorporated. Garnish with the clove studded orange peel and enjoy.;N/A;N/A;N/A;1.5 oz Karlsson's Gold Vodka, .5 oz Luxardo Amaretto di Saschira, .5 oz Benedictine, .5 oz Orange juice, .5 oz Honey;Sean McClure;N/A;N/A;Long orange peel studded with cloves;This is a nice simple winter warmer that will hit the spot after a nice dinner. Vinterpäls is the Swedish word for winter jacket. When we first made this, we wanted to be up in the mountains at a ski resort in a hot tub...
A Southern Jackass;N/A;N/A;Old Fashioned Glass;"Fill a shaker with an old fashioned glass worth of ice. Add all ingredients except for the club soda. Shake vigorously for 20 seconds, then dump into old fashioned glass. Set lemon wheel and sliver of cinnamon-candied ginger on top then top with club soda.  *Cinnamon Candied Ginger Syrup: Combine 1/4 lb. peeled ginger root (sliced 1/8"" on a 45-degree bias using a mandolin), 2 cups of water, and 4 cinnamon sticks in a pot (or pan) and bring to cusp of a light simmer. Continue to barely simmer for 30 minutes. Add 1 cup of demerara sugar and stir until fully dissolved. Lower heat and keep just below simmering. Continue to heat until almost all liquid is reduced and remaining sugar is just beginning to caramelize (2-3 hours). Remove from heat and spoon slivers of ginger (along with a generous dollop of now thick syrup) onto a sheet of parchment or wax paper. Let cool for at least 2 hours then store layered on the paper sealed in a ziplock bag. Remove cinnamon sticks and reserve syrup.";N/A;N/A;N/A;1.5 oz Prichard's Lincoln County Lightning, .5 oz King's Ginger Liqueur, .5 oz Cinnamon-Candied Ginger Syrup*, 3 dash Angostura Bitters, 1 top Club Soda;Julian Miller;Partender;San Francisco;Lemon Wheel, Sliver of Cinnamon-Candied Ginger;N/A
Mayan Sacrifice Champagne Cocktail;N/A;N/A;N/A;Fill Chinaco stemmed flute with prosecco, cava or other dry sparkling. Garnish with Luxardo Cherry pinned inside of lemon peel and rested across rim. The cherry garnish which will be EVER so delicately laid across the top of the glass, should flame in my opinion. You can dip the in high-proof spirits and light it up!;N/A;N/A;N/A;.5 oz Chinaco Blanco Tequila, .5 oz D'Aristi Xtabentun Honey Liqueur;N/A;N/A;N/A;N/A;N/A
Pacific Kick;N/A;N/A;Old Fashioned Glass;Fill shaker with ingredients and ice. Shake. Strain into old fashioned or rocks glass filled with ice.;N/A;N/A;N/A;1 oz Japanese Whisky, 3 oz Amaro Angeleno, 1 oz Luxardo Orgeat Syrup, 1 oz Lemon Juice;N/A;N/A;N/A;N/A;Photo credit: liquor.com
Citrus Quo (Adapted);N/A;N/A;N/A;Fill up a stem-less wine glass with ice and pour the ingredients over, stir and serve.;N/A;N/A;N/A;1.5 oz No.3 London Dry Gin, .5 oz Luxardo Limoncello, .5 oz Luxardo Aperitivo, 3 oz Tonic water;Francesco Lafranconi;N/A;N/A;Grapefruit spiral;Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin.
The Mayan Premonition;N/A;N/A;Wine Glass;Fill up a stemmed wine glass with ice then pour the ingredients, stir and serve.;N/A;N/A;N/A;1.5 oz Chinaco Blanco Tequila, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Fresh Lime Juice, 1 float Bitter Lemon Soda;N/A;N/A;N/A;Fresh Ginger Slice, Luxardo Cherry;N/A
Club Med;N/A;N/A;N/A;Fill up a wine glass with ice then pour the ingredients, stir and serve.;N/A;N/A;N/A;.75 oz Luxardo Apricot Liqueur, .75 oz BarSol Selecto Italia Pisco, .75 oz Elderflower Liqueur, 2 oz White dry white(preferably Sauvignon), 2 oz Club soda;Francesco Lafranconi;N/A;N/A;Apricot slices;N/A
Pisco Sour;Cocktail;Alcoholic;N/A;Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.;Den Inhalt in einem Cocktailshaker mit Eiswürfeln kräftig schütteln und abseihen, dann in ein Glas gießen und mit Bitter garnieren.;Shakerare vigorosamente e filtrare il contenuto in uno shaker con cubetti di ghiaccio, quindi versare in un bicchiere e guarnire con bitter.;https://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg;Egg White, Ice, 1-2 tblsp Sugar, 1 oz Lemon juice, 2 oz Pisco;N/A;N/A;N/A;N/A;N/A
Jamaica Paloma;N/A;N/A;N/A;Flash shake, strain onto fresh ice, top with Mexican Squirt. Salted starfruit garnish.;N/A;N/A;N/A;2 oz Mezcal, 1 oz Jamaica basil flower syrup*, .75 oz Fresh grapefruit juice, .5 oz Fresh lime juice;Caitlin Laman;N/A;N/A;Salted starfruit;*1:1 sugar (raw) to water, macerating a handful of basil flowers and two handfuls of dried jamaica flowers to each 2L of water.
Ypioca Chile Punch;N/A;N/A;N/A;For a punch, combine Ypioca, lime, agave and Ancho Reyes together. Add fresh pineapple chunks, 3 thin sliced chiles (seeds included) and 1 star anise to garnish.;N/A;N/A;N/A;2 part Ypioca Brasilizar Cachaca Prata Classica, 1 part Fresh Lime Juice, .5 part Agave, .5 part Ancho Reyes Ancho Chile Liqueur;Lauren Sanchez;N/A;Miami;Pineapple Chunks, Dried Ancho Chiles, Star Anise;"""Inspiration - let's just say I took creative license with a classic caipirinha recipe."" - Lauren Sanchez"
Prata Punch;N/A;N/A;N/A;For punch, combine Ypioca, Lillet Rose, guava nectar, lime and agave. Top with Rosa Regale sparkling and add sliced strawberries and thin-sliced lime wheels to float as garnish.  For individual cocktails, muddle 2-3 strawberry slices w/ agave and add Ypioca, guava and Lillet. Add ice and shake to chill/mix. Strain over ice and top with champagne. Garnish with thin-sliced strawberry. Remember, this is an aperitif style so it's meant to be refreshing but not necessarily sweet.;N/A;N/A;N/A;2 part Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 part Lillet Rose, .5 part Guava Nectar, .25 part Fresh Lime Juice, .25 part Agave, 1 top Banfi Rosa Regale Sparkling Wine;Lauren Sanchez;N/A;Miami;Strawberries, Lime Wheels;N/A
Engaged and Cant-Aloupe;N/A;N/A;Rocks Glass;Garnish with 3 drops of Angostura Bitters over foam.  *Beet Sugar Water: -- 50% Beet Sugar -- 50% Water;N/A;N/A;N/A;1.5 oz BarSol Supremo Moste Verde Italia Pisco, 1.25 oz Fresh Cantaloupe Juice, .5 oz Fresh Lime Juice, .75 oz Beet Sugar Water*, 1  Egg White;Brian Van Flandern;N/A;N/A;Angostura Bitters;Featured on Extra TV June 2016
Mauritian Made;N/A;N/A;Rocks Glass;Garnish: mint and lime wheel;N/A;N/A;N/A;1.5 oz Pink Pigeon Rum, .75 oz Darjeeling simple syrup, 1 oz Lime juice;N/A;N/A;N/A;Mint sprig, lime wheel;N/A
Hotaling Old Tom Gin;N/A;N/A;Stemless Wine Glass;Garnished with orange peel and star anise. Served over the rocks in a stemless wine glass.  *7-Spice Syrup: -- Pink Peppercorn -- Star Anise -- Sumac -- Cinnamon -- Nutmeg -- Coriander -- Cardamom;N/A;N/A;N/A;1.5 oz Old Tom Gin, .5 oz 7-Spice Syrup*, .75 oz Lemon Juice, 1.5 oz Fever-Tree Tonic;Enrique Sanchez;The Commissary;Los Angeles;Orange Peel, Star Anise;N/A
Hotaling Seaside Shandy;N/A;N/A;N/A;Genevieve is Hotaling's interpretation of genever, an ancient and mysterious gin style. The most common way to consume genever has always been straight. If you are planning to set sail for the day, picnic or do something else to enjoy the great outdoors, we recommend throwing a bottle of Genevieve in the freezer the evening before your outing and moving it to the cooler day of. We sip it straight while enjoying a lager. Glassware is dealer's choice, but cordial glasses are elegant and fun.;N/A;N/A;N/A;1 oz Genevieve Gin, 1 bottle Lager;Jeff Hollinger;N/A;N/A;N/A;N/A
Blind Luck;N/A;N/A;Martini Glass;"Hard vigorous shake with high density ice for 5-6 seconds. Hawthorne and fine strain into a chilled martini glass. Garnish with a mint sprig spanked and lightly rubbed around the edge of the glass. Raspberry garnish and mint sprig attached to the raspberry. Channel zest lemon bath over the glass.  *Strawberry-Raspberry Turbinado ""Sugar in the Raw"" Simple Syrup: -- 2 C Water -- 2 C Sugar in the Raw Turbinado Sugar -- 15 Raspberries -- 3 Strawberries, quartered -- 3 Mint Leaves  As the water boils, slowly add sugar a few spoon fulls at a time and whisk vigorously into the boiling water until all 2 cups have been dissolved. Continue to keep on high heat for 5 mins. Then take raspberries, strawberries, and mint leaves and macerate all components together and add into the boiling simple syrup. Reduce heat to low-medium heat for the next 15 mins. After that allow simple syrup to cool down and rest for additional 15 mins.  Double strain the simple syrup through fine strainers until all fruit, seeds and mint leaves are strained out.  Allow to cool.";N/A;N/A;N/A;1 oz Luxardo Bitter Bianco, 2.5 oz Old Tom Gin, 2 bsp Real Lemon Juice, 2 bsp Strawberry-Raspberry Simple Syrup*;Andrew Grala;N/A;Houston;Raspberry, Mint Sprig, Lemon Zest;N/A
The Naughty & Nice;N/A;N/A;N/A;Heat cider to 180°F. In a 5 oz cup pour the scotch and drambuie. Add the heated cider. Stir in the spiced butter. Top with 3 drops bitters.  For the garnish, add 2 small cocktail stirrers, hang cookie off of the stirrer so that it leans off of the side of the cup.  *Spiced Butter: -- 1 half Stick Butter -- 1 tbsp Pumpkin Pie Spice -- .5 tbsp Brown Sugar -- .5 tsp Cayenne Pepper  Soften butter, add spices and mix with a spoon until all ingredients are combined.  **Chrusciki Cookies: -- 1 c All-purpose Flour -- 3 Egg Yolks -- 3 tbsp Sour Cream -- 1 tsp Vanilla Extract -- 1 tbsp Dark Rum -- 1 pinch Salt  Using a mixer, incorporate egg yolks into sour cream, add vanilla and rum, kneed in all-purpose flower and salt to taste. Divide dough in half on a floured board and let rest for 20 min. Working with half the dough at a time, roll out to 1/8 in. thickness, cut into 2 in. wide strips, cut these strips on the diagonal at 4 in. intervals. Heat 2 in. of vegetable oil in a large deep skillet to 350°F. Make a slit in the center of each strip of dough. Pull one end through the slit to form a bow. Fry 6 Chrusciki at a time for 1 min. or less per side till golden brown. Drain on a paper towel and dust with confectioners sugar.;N/A;N/A;N/A;1.25 oz Glenrothes Vintage Reserve, .75 oz Drambuie, 2 oz Woodchuck Pumpkin Cider, .75 oz Spiced Butter*, 3 dash Bittermens Elemakule Tiki Bitters;Sarah Manowitz;Spitfire Bar;New Orleans;Chrusciki Cookie**;N/A
The King's Cranberry Sauce;N/A;N/A;N/A;Heat cranberries, sugar, OJ and King's Ginger over medium heat. Place the peppercorns, allspice, cloves and cinnamon in a piece of cheesecloth with the end tied. Add to pot. Cook stirring often until cranberries soften about 25 to 30 min. Refrigerate for 1 hour before serving.;N/A;N/A;N/A; 14 oz Cranberries, 1.5 c Brown Sugar, .5 c Orange Juice, .3 c King's Ginger Liqueur, 8 whole Pepper Corns, 6 Allspice Berries, 5 Cloves, 2 Cinnamon;N/A;N/A;N/A;N/A;N/A
Mexican Sazerac;N/A;N/A;Old Fashioned Glass;Ice: Large block or spherical;N/A;N/A;N/A;2 oz Chinaco Reposado Tequila, .75 oz D'Aristi Xtabentun Honey Liqueur, 3 dash Peychaud's Bitters;N/A;N/A;N/A;Lemon twist;N/A
Roasted Cherry Colada;N/A;N/A;Tiki Glass;"In a blender, combine white rum, Luxardo, coconut milk, lime juice, sugar, bitters, 3 cherries, and 1 cup ice and purée until smooth; pour into a tiki glass and top with black rum. Place halved cherry, cut-side up, on top of cocktail and fill with Everclear before lighting cherry on fire.";N/A;N/A;N/A;2 oz White Rum, 1.75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Coconut Milk, 1 oz Fresh Lime Juice, .5 tsp Demerara Sugar, 10 dash Miracle Mile Forbidden Barrel Aged Bitters, 3  Roasted Cherries, 1 oz Black Rum, 1 tsp Everclear;N/A;N/A;N/A;Roasted Cherry;http://www.saveur.com/roasted-cherries-recipe
Karlsson's Kold Brew;N/A;N/A;Espresso Cup;In a Boston shaker combine all liquid ingredients (not the foam) with cracked ice and shake vigorously for 20 seconds. Double strain the cocktail into an espresso cup. Using an aero-latte frothing whip froth the coffee infused soy milk and spoon the froth over the cocktail. Sprinkle with a little espresso powder.;N/A;N/A;N/A;1 oz Karlsson's Gold Vodka (Coffee-Infused), .75 oz Café Moka, .75 oz Cardamom syrup*, 2 Tbsp Soy milk coffee foam**, 1 pinch Espresso powder;Sean McClure;N/A;N/A;N/A;Coffee-Infused Karlsson's Gold Vodka (yield- 750 ml.):  Ingredients & Equipment - 1 750 ml. Bottle Karlsson's Gold vodka - .75 c. Coffee beans - French press - Coffee grinder  Instructions Grind the coffee beans and add them to the French press. Pour in the vodka and press. Let steep at room temperature for 12-24 hours. Strain out the coffee grounds and store in a sealed container in the refrigerator.  ---  *Cardamom Syrup (yield- 1 pt.):  Ingredients - .5 c. Whole green cardamom pods - 1 lb. Granulated sugar - 2 c. Water  Instructions In a 1 qt. saucepot bring the water and sugar to a boil. Once boiling add the cardamom pods and remove from the heat. Let steep 30 minutes and strain the cardamom pods out using a fine mesh sieve. Store in a covered container in the refrigerator. It should keep for a while in the fridge.  ---  **Coffee Soy Milk (yield- 1 c.):  Ingredients - 8 oz. Soy mik - 1 oz. Simple syrup - 2 Tbsp. Espresso powder  Instructions Blend the two ingredients until the espresso powder is completely dissolved.
Root Down;N/A;N/A;Rocks Glass;In a Boston shaker combine all liquid ingredients except the ginger beer with whole hard ice and shake vigorously for 30 seconds. Double strain the cocktail over whole hard ice cubes in a 13 oz. rocks glass and top with the ginger beer. Garnish with the licorice root.;N/A;N/A;N/A;2 oz Karlsson's Gold Vodka (Root-Infused), .5 oz Cardamaro, .5 oz Fresh lemon juice, .5 oz Grade-A dark maple syrup, 1.5 oz Fenteman's ginger beer, 4 inch Whole licorice root;Sean McClure;N/A;N/A;Licorice root;Root-Infused Karlsson's Gold Vodka:  Ingredients & Equipment - 5 750 ml. Bottles Karlsson's Gold Vodka - 5 oz. Sarsaparilla (Can be purchased at Kalustyan's) - 5 oz. Sassafras (Can be purchased at Kalustyan's) - 2.5 oz. White birch bark (Can be purchased at Kalustyan's) - 2.5 oz. Licorice root (Can be purchased at Kalustyan's) - 5 l. Barrel from Tuthilltown distillery - Spice grinder - Cheesecloth - 10 qt. Non-reactive sealable container - Fine mesh sieve  Instructions Soak the barrel in water for 24 hours to swell the wood staves and to seal the barrel. (If you put liquid into a dry barrel it will leak.) Rinse the sarsaparilla, sassafras, white birch bark and licorice root in cold water and lay out on parchment paper to dry. Once dry roughly grind the ingredients using a spice grinder and add them to a 10 qt. sealable non-reactive container. Pour the vodka into the container (reserve the bottles), cover and let infuse for 6 hours shaking every hour. Once fully infused strain out the roots and barks out using a fine mesh sieve and cheesecloth. Using a funnel fill the barrel with the infusion and plug the barrel. Let infuse for 1-2 months tasting until desired oak flavor is achieved. Note: The barrel can be used several times but the aging time will take longer the more you use it. For example the second time you might need to age it for 2-3 months. Once desired oak age is achieved remove the infusion from the barrel and pour it back into the bottles There will be less then what you started with due to evaporation and soaking. Use as a base for cocktails. It makes an interesting old-fashioned.
Chilli Vanilli;N/A;N/A;Coupe;In a Boston shaker combine all liquid ingredients in a shaker without ice and dry shake for 10-12 shakes to blend the egg whites. Once blended add cracked ice and shake vigorously for 30 seconds and strain into a frozen 4.5 oz. coupe glass. Let the cocktail settle and sprinkle with the vanilla powder.;N/A;N/A;N/A;2 oz Karlsson's Gold Vodka, .5 oz Lustau Amontillado Sherry, .75 oz St. Elizabeth Allspice Dram, .75 oz Burned Demerara Sugar Syrup*, 1 tincture Bob's Vanilla Bitters, .75 oz Vanilla Powder, 1  Egg White;Sean McClure;N/A;N/A;N/A;*Burned Demerara Sugar Syrup (yield- 1 pt.):  Ingredients & Equipment - .5 lb. Demerara sugar (sugar in the raw) - 2 c. Water - Blow torch - Immersion blender  Instructions In a wide bottom saucepot add the sugar and brulè it until just burned. Add the water to the pot and simmer until it is dissolved. Use an immersion blender to break up the chunks of burned sugar. Strain the syrup through a fine mesh sieve and store covered in the refrigerator. It should keep for a while.
Pear and Cranberry Fizz;N/A;N/A;Highball Glass;In a Boston shaker combine and muddle the fresh lemon juice and cranberries. Add the remaining liquid ingredients except the club soda with hard ice and shake vigorously for 20 seconds pour directly into a highball add a little more ice to fill the glass and top with the club soda. Garnish with a few pear slices and fresh cranberries.;N/A;N/A;N/A;1.5 oz Karlsson's Gold Vodka, .5 oz Fresh Lemon Juice, 1 oz Rothman & Winter Orchard Pear Liqueur, .75 oz Cranberry Juice, 1 tincture Fee Brothers Cranberry Bitters, 10  Fresh Cranberries;Sean McClure;N/A;N/A;2 Pear slices;N/A
Asian Affair;N/A;N/A;Highball Glass;In a Boston shaker, combine all liquid ingredients except the ginger beer with cracked ice and shake vigorously for 30 seconds. Double strain over ice into a 16 oz. highball or Collins glass and top with the ginger beer. Garnish with the candied ginger using 2 toothpicks placed on the rim of the glass.  *Thai Basil Syrup: -- 1 C Chopped Thai Basil -- 2 C Granulated Sugar -- 1 C Water  In a 1 qt. saucepot bring the water and sugar to boil and stir until sugar is completely dissolved. Add the chopped Thai basil to the pot and remove from heat. Let the basil steep for 1 hour or until syrup is room temperature. Strain the basil out of the syrup using a fine mesh sieve and store covered in fridge.;N/A;N/A;N/A;2 oz Karlsson's Gold Vodka, .75 oz Boiron Kalamansi Juice, .5 oz Thai Basil Syrup*, .5 oz Cocchi Americano, 2 oz Fentimans Ginger Beer;Sean McClure;N/A;N/A;Young Australian Candied Ginger;N/A
Pumpkin and Spice;N/A;N/A;Rocks Glass;In a Boston shaker, combine all liquid ingredients except the ginger beer. Shake vigorously for 25 seconds and strain over fresh ice in a rocks glass. Top with the ginger beer and grate the fresh nutmeg over the top.  *Oatmeal-Infused Karlsson's Gold Vodka: -- 750 ml Karlsson's Gold Vodka -- 2 C Raw Oats  Using a large sauté pan toast the oats for about 10 minutes constantly watching them and making sure they don't burn. Once aromatic and have a touch of color add the oats to a mason jar with the vodka and let infuse for 12-24 hours. Strain and press out all the vodka from the oats. Return the liquid to the bottle and store in a cool dark place.;N/A;N/A;N/A;1.5 oz Oatmeal-Infused Karlsson's Gold Vodka*, 1.5 oz Ginger Beer, .5 oz Oloroso Sherry, .25 oz St. Elizabeth Allspice Dram, .25 oz Molasses, 1 bsp Pumpkin Puree, 1 tincture Fee Brothers Black Walnut Bitters;Sean McClure;N/A;N/A;Fresh Nutmeg;This cocktail is nice to serve with a little bowl of toasted and salted pumpkin seeds.
